2021-11-03 19:28:28,891: This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.:
2021-11-03 19:29:03,191: This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.:
2021-11-03 19:29:04,789: 'h':
2021-11-03 19:29:04,906: 'e':
2021-11-03 19:29:05,027: 'l':
2021-11-03 19:29:05,167: 'l':
2021-11-03 19:29:05,352: 'o':
2021-11-03 19:29:10,173: Key.backspace:
2021-11-03 19:29:10,312: Key.backspace:
2021-11-03 19:29:10,482: Key.backspace:
2021-11-03 19:29:10,639: Key.backspace:
2021-11-03 19:29:10,795: Key.backspace:
2021-11-03 19:29:11,097: Key.backspace:
2021-11-03 19:29:11,750: Key.space:
2021-11-03 19:29:18,669: 'h':
2021-11-03 19:29:18,810: 'e':
2021-11-03 19:29:18,918: 'l':
2021-11-03 19:29:19,047: 'l':
2021-11-03 19:29:19,217: 'o':
2021-11-03 19:29:19,301: Key.space:
2021-11-03 19:29:19,772: 'e':
2021-11-03 19:29:21,063: 'v':
2021-11-03 19:29:21,286: 'e':
2021-11-03 19:29:21,390: 'r':
2021-11-03 19:29:21,586: 'y':
2021-11-03 19:29:21,819: 'o':
2021-11-03 19:29:22,005: 'n':
2021-11-03 19:29:22,124: 'e':
2021-11-03 19:29:43,810: Key.backspace:
2021-11-03 19:29:44,508: Key.cmd:
2021-11-03 19:29:44,661: 's':
2021-11-03 19:30:30,806: 'u':
2021-11-03 19:30:30,936: 's':
2021-11-03 19:30:31,053: 'e':
2021-11-03 19:30:31,153: 'r':
2021-11-03 19:30:31,301: 's':
2021-11-03 19:30:32,385: Key.enter:
2021-11-03 19:30:44,001: 'h':
2021-11-03 19:30:44,280: Key.backspace:
2021-11-03 19:30:44,429: Key.backspace:
2021-11-03 19:30:46,070: 'h':
2021-11-03 19:30:46,264: 'o':
2021-11-03 19:30:46,360: 'w':
2021-11-03 19:30:46,444: Key.space:
2021-11-03 19:30:46,591: 't':
2021-11-03 19:30:46,634: 'o':
2021-11-03 19:30:46,761: Key.space:
2021-11-03 19:30:47,079: 'g':
2021-11-03 19:30:47,198: 'e':
2021-11-03 19:30:47,315: 't':
2021-11-03 19:30:47,362: Key.space:
2021-11-03 19:30:47,579: 't':
2021-11-03 19:30:47,682: 'o':
2021-11-03 19:30:47,891: Key.backspace:
2021-11-03 19:30:48,044: Key.backspace:
2021-11-03 19:30:48,282: 't':
2021-11-03 19:30:48,321: 'o':
2021-11-03 19:30:48,501: Key.space:
2021-11-03 19:30:48,856: 'm':
2021-11-03 19:30:48,947: 'y':
2021-11-03 19:30:49,036: Key.space:
2021-11-03 19:30:49,283: 'u':
2021-11-03 19:30:49,341: 's':
2021-11-03 19:30:49,426: 'e':
2021-11-03 19:30:49,502: 'r':
2021-11-03 19:30:49,634: 's':
2021-11-03 19:30:49,747: Key.space:
2021-11-03 19:30:49,966: 'f':
2021-11-03 19:30:50,090: 'o':
2021-11-03 19:30:50,093: 'r':
